psid,prime_group_label,no_bev_selected0,treatment,conventional_gas_vehicle_enthusiasm,simply_not_interested,price_cost,range_anxiety,charging_infrastructure,battery_concern,ev_skepticism,ev_distrust,used_vehicle_distrust,environmental_doubt,other,n_themes
66748d21df607e201f1b692e,prime_short,not buying pure electric,Basic Info,0,1,0,0,0,0,0,0,0,0,0,1
6998af19175ea049781b31fe,prime_long,I do not plan to ever buy an electric vehicle. I do not think they are a wise investment.,Extended Info,0,1,0,0,0,0,1,0,0,0,0,2
69ad746adbaf4ed19d5b218f,prime_short,"I would not purchase a battery vehicle.  Too many negatives with regards to owning a battery vehicle, charging time, battery range, battery degredation",Basic Info,0,1,0,1,1,1,0,0,0,0,0,4
69bd7998ee91edb9364ba992,prime_short,We won't buy an electric vehicle.,Basic Info,0,1,0,0,0,0,0,0,0,0,0,1
69ab5ae0fbd4b07dd054e822,prime_long,The safety risks they pose and the lack of uncertainty of their lifetime.,Extended Info,0,0,0,0,0,1,0,1,0,0,0,2
698c671e1816c886609f6af8,prime_short,The range is too short for my personal needs.,Basic Info,0,0,0,1,0,0,0,0,0,0,0,1
64d5060402e9e0c10ff81e41,prime_short,"A fully Electric vehicle is just not something that I'm interested in at this time. The limited travel range, having to locate a charging station and the time to charge while on a road trip, the amount of expensive tech involved if repairs are needed, limited to specialized technicians and not able to just go to the neighborhood mechanic also forced to deal with the bureaucracy of the dealership",Basic Info,0,1,1,1,1,0,0,0,0,0,0,4
6944426d5defea5e83fbdadf,prime_long,"I don't want an electric car. I live in a condo and have no place to charge it. I also find them too expensive and the costs of replacing the battery are too high. The market is not ready for them yet where I live, in a red state.",Extended Info,0,1,1,0,1,1,0,0,0,0,0,4
6998bdae820cf4c0812316d6,prime_short,I do not wish to purchase an electric vehicle. I am okay with owning a hybrid but I would not like to rely on battery power only as I do not have access to charging options where I normally travel.,Basic Info,0,1,0,0,0,0,0,0,1,0,0,2
699382a137908d9fac312139,prime_short,"I am not interested in purchasing an electric vehicle, especially not a used one.",Basic Info,1,1,0,0,0,0,0,0,0,0,0,2
66c57de9f300cdb31238a7ac,prime_long,I realized I would not buy an electric vehicle. I prefer the convenience of a gas or hybrid vehicle.,Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
66303835b8a3536d5e202e91,prime_long,I do not want an electric vehicles even if they were my only options,Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
66a02700042f0e4fab8b698f,prime_short,They are expensive to maintain the battery. Also I have read that disposing of them is bad for the environment. I previously stated that I live in a rural location and having to charge a vehicle is just not feasible.,Basic Info,0,0,1,0,1,1,0,0,0,1,0,4
696299db338fdebee65fcc12,prime_short,prices were too expensive.,Basic Info,0,0,1,0,0,0,0,0,0,0,0,1
67f5041d9f11df8c9ff67b4e,prime_long,didn't like the prices,Extended Info,0,0,1,0,0,0,0,0,0,0,0,1
699a48258e833a6a4374f433,prime_long,Because I'm not interested in purchasing an electric vehicle,Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
663a8a538ae7d0205b2fa8c9,prime_short,"For use case I intend to purchase for, all options would leave me stranded with no access to power , where a conventional fuel vehicle allows an emergency source stored in gas cans. In addition, if they could handle offroad and overlanding, the range would decrease significantly after climbing and crawling through rough terrain.",Basic Info,1,0,0,1,1,0,0,0,0,0,0,3
69b8c291b887f7511afccfbf,prime_long,"As I previously explained, I would not purchase an electric vehicle due to uncertainty associated with it: battery life/issues, charging availability, driving capacity on a charge. My gas vehicle gets around 450 mpg which at least double compared to battery AND I can fuel basically anywhere when traveling.",Extended Info,0,0,0,1,1,1,1,0,0,0,0,4
5c52966eac3bca0001d21d12,prime_long,"At this time, I am not interested in any electric or hybrid vehicle",Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
65e2a2bb637373a334e3dbb6,prime_long,"after seeing how much it would cost to replace the batteries, even if the vehicle is only 3 years old, I would not want that expense.",Extended Info,0,0,1,0,0,1,0,0,0,0,0,2
6787027230a5a1f3f6adad4b,prime_long,I just cannot justify purchasing an electric vehicle.,Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
6941c1f6fc0380d01c4e25a9,prime_short,"The purchase price is the most important factor in making my decision for a vehicle. All of the options provided were out of my price range; therefore, I would not select any electric options. I would find a vehicle in my price range, even if it was not electric or hybrid.",Basic Info,0,0,1,0,0,0,0,0,0,0,0,1
69a64043252cccc6ac2ae475,prime_short,"It's really just accessibility. I like to drive to more remote destinations, or occasionally bordering states, which I know will not have proper charging stations.",Basic Info,0,0,0,0,1,0,0,0,0,0,0,1
6307d354d53118467b329503,prime_long,"the range is insufficient, I would mostly be using my car for longer distance travel, likely through places with poor EV support 
",Extended Info,0,0,0,1,1,0,0,0,0,0,0,2
697bfa7384833e969276e195,prime_short,Because I do not want an electric vehicle period.,Basic Info,0,1,0,0,0,0,0,0,0,0,0,1
66d9d1eb189369965f4b8704,prime_long,prefer conventional vehicle,Extended Info,1,1,0,0,0,0,0,0,0,0,0,2
6960623a4027c433ad7447d3,prime_long,I don't want to worry about having to replace a battery or figure out when the battery will start tanking my mileage. I don't want the risks of the electric vehicle. I'd rather have fuel.,Extended Info,1,0,0,0,0,1,0,1,0,0,0,3
6701580c116225812fb34d99,prime_long,"I already let you guys know I'm not buying any electric vehicles. I'm not opposed to them, but I'm not ready to buy them until I feel they are safe and the infrastructure is there.",Extended Info,0,1,0,0,1,0,1,0,0,0,0,3
6277fd1a3a086f8af7867fa0,prime_short,Even the highest mileage on full charge is about a fourth of what my current car can do on a full tank,Basic Info,0,0,0,1,0,0,0,0,0,0,0,1
69ce7d2297b4750b47987000,prime_short,Electric vehicles have expensive maintenance costs,Basic Info,0,0,1,0,0,0,0,0,0,0,0,1
6995128bd75ec09b6e8b6973,prime_short,i do not want an electric vehicle,Basic Info,0,1,0,0,0,0,0,0,0,0,0,1
699fd694c9f21eda4add191d,prime_long,"I'm just not quite sold on going full electric yet. Like I said earlier, I like the freedom of getting gas and leaving on my long route I take frequently. I do not want to have to charge in public. Also, camping is important, and I don't trust a BEV to do the job.",Extended Info,1,1,0,0,1,0,0,1,0,0,0,4
69600b1433413eeef0775039,prime_short,"I honestly would never buy an electric vehicle, primarily for the reasons I gave in an answer earlier in this survey. Going without power/electricity - in addition to no water, internet, cell phone coverage, and with over 75% of our roads and bridges wiped out - for over three months after Hurricane Helene, means I would never rely on an electric vehicle. Gas powered vehicles were the only ones that were working and could get around and navigate the terrain for three months - plus we could siphon gas from spare vehicles to have enough fuel for our generators each day, to keep what food we had from spoiling. My former boss and her family all had only electric and hybrid vehicles, and I ended up running critical supplies, including water and formula, out to them when I visited in person - remember, no cell phone coverage - and found them in desperate need. It made a lasting impression and I doubt anything could convince me to go fully electric or even hybrid.",Basic Info,1,0,0,0,1,0,0,1,0,0,0,3
ge65x9kMOEZSYFUe1IBVVNpA,prime_short,Pointless and unreliable,Basic Info,0,0,0,0,0,0,1,1,0,0,0,2
bB30UrowC7N7YzcBEgXDgK5B,prime_long,I prefer gas powered engines,Extended Info,1,0,0,0,0,0,0,0,0,0,0,1
a63g0KpOEMTVuZcARrGn7U4C,prime_short,I would not accept a refurbished battery battery,Basic Info,0,0,0,0,0,1,0,0,1,0,0,2
vLM1EB3wYrgHrngZ23gEylgB,prime_short,I'm not interested in an electric vehicle,Basic Info,0,1,0,0,0,0,0,0,0,0,0,1
KbE4CByVU1uupRYh8disoskJ,prime_long,Nevause they made battle on the battery,Extended Info,0,0,0,0,0,0,1,0,0,0,1,2
dWa9BzxZpLUj6oZGtmgvUBq2,prime_short,Don't want electric vehicles,Basic Info,0,1,0,0,0,0,0,0,0,0,0,1
ihZo0nm1F9XzzA0U6dVCDXn5,prime_short,I do not want an electric battery car. I want a conventional gasoline engine or a hybrid non plug in,Basic Info,1,1,0,0,0,0,0,0,0,0,0,2
yRXru6XFujm1gm2DfbNYSOYm,prime_short,They are too expensive and bad for the environment.,Basic Info,0,0,1,0,0,0,0,0,0,1,0,2
afLgpZhIHGDhPZKpF0xigcAw,prime_long,All the models are way too expensive and there are no charging stations in my area and I think they're too expensive to begin with and probably harder to fix should there be a problem that a conventional gas burning engine,Extended Info,0,0,1,0,1,0,1,0,0,0,0,3
DATdqGMX8hYb95EvVbsSJzBe,prime_short,I prefer a newer vehicle 2026,Basic Info,0,0,0,0,0,0,0,0,1,0,0,1
WXGKYxAdXGrLUv3mI3MfRK0Z,prime_short,Too expensive,Basic Info,0,0,1,0,0,0,0,0,0,0,0,1
MM7apPvHR2VnrX6Uo6cysVEs,prime_long,Well most would need batteries within 5 years and there travel distance wasn't really that far,Extended Info,0,0,0,1,0,1,0,0,0,0,0,2
vJuZb06McuKG8an9BPoML3ML,prime_long,The range for plug in still seems somewhat limited.,Extended Info,0,0,0,1,0,0,0,0,0,0,0,1
RwIZfLWFIttLKNJAAfam9hPO,prime_long,"I do not like electric vehicles
No charging stations",Extended Info,0,0,0,0,1,0,1,0,0,0,0,2
V2x4Ti7wb5OJUSZHZ2AS7pCk,prime_short,no interest in ev,Basic Info,0,1,0,0,0,0,0,0,0,0,0,1
afMrgo19VZZxmXhyG1npYJ8E,prime_short,Seems too stressful to figure out when and where I will have to recharge,Basic Info,0,0,0,0,1,0,0,0,0,0,0,1
FzbfUkg05fRTqmotRnmNGEP9,prime_long,I'm not a fan of electric vehicles,Extended Info,0,0,0,0,0,0,1,0,0,0,0,1
WeUmVlCNsTqHRu94Ipm0jMK1,prime_short,I have heard really bad things about all electric cars. I do not have a place to charge it and I do not trust electric vehicles.,Basic Info,0,0,0,0,1,0,0,1,0,0,0,2
WkC24UKK3rV2XPPaBuTdxJQV,prime_long,I am not looking to purchase an electric vehicle,Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
zbNHWh0FC5IcvP3xgXYSKjmc,prime_long,Battery replacement is too expensive,Extended Info,0,0,1,0,0,1,0,0,0,0,0,2
y2JJ9ZCSvSDVcZa2opHt6zRs,prime_long,I live in Florida and would never purchase a battery operated vehicle because of potential hurricanes and flooding,Extended Info,0,0,0,0,0,0,1,0,0,0,1,2
9mUvmVYxOsXHgsIC6wjkFtfl,prime_long,I am not interested in electric vehicles.,Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
FTznnepVsenvIOcMC45ItYzW,prime_long,"I would not choose to purchase a battery operated vehicle, unless it was a golfcart",Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
z3HiFPsHuRD2oAAZwibPtjP7,prime_long,I would not purchase an electric vehicle,Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
rOBlzvkwp4fw9DvGguGr2jbw,prime_long,You can only go 40-80 miles on a charge and most of the batteries the health was worn down,Extended Info,0,0,0,1,0,1,0,0,0,0,0,2
MmB0q2TUvYYeTophYZvSnoKq,prime_short,I am concerned about the limited mileage range between charges and all choices were above what I am willing to pay.,Basic Info,0,0,1,1,0,0,0,0,0,0,0,2
QdaU3OG9ovK0coN7fNP6ZHML,prime_short,"my sister lives 403 miles from my house, i would have to stop 2 different time to charge",Basic Info,0,0,0,1,1,0,0,0,0,0,0,2
xf23lJCMlVPLXOYQ0ZV1i8YM,prime_long,Refurbished means trouble,Extended Info,0,0,0,0,0,1,0,0,1,0,0,2
1pR2t6ZNq6VaFGv9Jma2lN9v,prime_short,I don't like electric vehicles,Basic Info,0,0,0,0,0,0,1,0,0,0,0,1
3VC3OmUC7rVlvS4rSQdSOrl5,prime_long,Would not buy an electric car unless it was new.,Extended Info,0,1,0,0,0,0,0,0,1,0,0,2
PdwgjRnIbdsGU4VorgUm3OER,prime_short,I don't  buy electric vehicles.,Basic Info,0,1,0,0,0,0,0,0,0,0,0,1
XDxlMkNVphjq8zJlyOiStuFW,prime_long,"Most were over my price range, and to be honest, I am still not comfortable with electric vehicles",Extended Info,0,1,1,0,0,0,0,0,0,0,0,2
kjQh8liNSJRK1S5Kh7Szm1xg,prime_long,"I would absolutely never purchase an electric vehicle, I would rather not own a car",Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
792fkFEv4CKq9JThKkOX6kg1,prime_long,I do not trust electric vehicles yet.  So I am not ready to consider one to purchase,Extended Info,0,0,0,0,0,0,0,1,0,0,0,1
8ATx3FniIERgovCMUqHyOGvd,prime_short,I don’t have a way to charge. I distrust this technology,Basic Info,0,0,0,0,1,0,0,1,0,0,0,2
yE8z3AAt6G4F0FJp3os3OTec,prime_long,I don't trust electric cars.  They are not safe,Extended Info,0,0,0,0,0,0,0,1,0,0,0,1
0fBA7dGrO6htzWzxlAr2bpQi,prime_short,I don't like electric cars because the battery has no real life and would cost more to replace it.,Basic Info,0,0,1,0,0,1,1,0,0,0,0,3
1ELnJDNiTl30BVZbsKWTrLtU,prime_long,I don’t want an electric vehicle,Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
62uO9VutOXrODSnf3mLHFG7s,prime_short,I would never purchase an electric vehicle.,Basic Info,0,1,0,0,0,0,0,0,0,0,0,1
5FBibTDblsN1yUKTxUocb9eH,prime_short,I really didn't like any of the choices.,Basic Info,0,0,0,0,0,0,0,0,0,0,1,1
Kl9tfvGHTOFX3XA5M5kWysOG,prime_long,I do not want any electrical car... period,Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
69ca4aa83fb819364415f6dd,prime_long,I am not interested in purchasing an electric vehicle.  There are no circumstances or characteristics that would influence me to purchase an electric vehicle.,Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
69907e70c4054eeb8965b30d,prime_long,I would not ever consider a EV at this point in time.,Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
69e0ae99beb07348718ee06d,prime_long,I never want to go that route. I do not want to ever have to think about the potential cost of buying a new battery.,Extended Info,0,1,0,0,0,1,0,0,0,0,0,2
673b79ba5d7681e718c277fc,prime_short,"I do not like battery powered EVs. I like traditional, gas powered vehicles. I don't like the inconvenience associated with the lengthy charge times, lack of available charging stations, and possible risks associated with driving to distant locations without ample charging stations.",Basic Info,1,0,0,1,1,0,0,0,0,0,0,3
69de95638988aeebd28245c4,prime_long,"I do not support electric battery operated vehicles. I do not think they are ethical, cost efficient, or worth the price. I would rather pay $6/gallon for gas than sit for hours in the middle of my day charging a car in the whole foods parking lot.",Extended Info,1,0,1,0,1,0,1,0,0,0,0,4
69cc98ab241394f39f691454,prime_long,I would only consider buying a car with an electric motor if it is a hybrid with a conventional engine. I would never consider buying myself a fully electric vehicle.,Extended Info,1,1,0,0,0,0,0,0,0,0,0,2
6637f2807d667d4013989fc1,prime_short,"Again, the areas to charge vehicles in my vicinity are scarce. The range is very limited, and the technology is fairly new still. I would wait until prices drop and more kinks are worked out.",Basic Info,0,0,1,1,1,0,1,0,0,0,0,4
65a2a922bfa22dde98c0d604,prime_short,"Cost.  The instructions are to mark which ones I'd buy IRL, and those are all way out of my price range, which I entered at the beginning of the survey, as should be $10K max.  None of those qualify.  If we are not to take the price into consideration as to whether we can afford IRL, then it should not be listed if the point is merely to analyze the willingness to purchase a battery powered car with battery at various capacities, refurbished, etc.",Basic Info,0,0,1,0,0,0,0,0,0,0,0,1
69c3239a158bfee31783d53f,prime_long,I do not trust any vehicle that relies on batteries. There are too many things that could go wrong and I think it would be expensive to fix.,Extended Info,0,0,0,0,0,1,0,1,0,0,0,2
69f8eef2a6fbd2a08ed4ccf4,prime_short,I do not want another electric vehicle. The maintenance is too expensive currently.,Basic Info,0,1,1,0,0,0,0,0,0,0,0,2
69cd5dcb8a87891b72f6ebf1,prime_short,I am not a fan of electric vehicles and believe and think they are more harmful than helpful and if one to get in a wreck and that battery blows up than it would be a far worst outcome because of the battery that is used and that's scary to think about ! I just refuse to have or get a vehicle that is run off of electric and battery ! As well as depending on a charge to get somewhere and what happens when the power goes out ! It doesn't seem like its beneficial to me at all !,Basic Info,0,0,0,1,1,1,0,1,0,0,0,4
6a05d2a43ea4837743f28d8a,prime_long,Yes because I would not want an electric vehicle in any scenario,Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
69f972198ab29387d981c907,prime_short,"Batteries for electric vehicles are dangerous, inconvenient, expensive to replace, and environmentally unfriendly. I will never purchase an electric vehicle.",Basic Info,0,0,1,0,0,1,0,1,0,1,0,4
655ffddf6682f3df8008b8f9,prime_long,I do not want an electric vehicle no matte what.,Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
698e0d75e89fe7155bb2fd14,prime_short,"I will not purchase any vehicle with any kind of battery. I do not like a full battery pawer or a plug in hybrid. My ideal choice will be a hybrid gas and electric with no plug in. I have done my research and I will not purchase a full battery powered vehicle because they are not practical to me, not into charging and waiting. I would like vehicles that are hybrid gas/electric so it can charge the battery while I drive. I do not like to sit on top of batteries under me while driving. Even though gas prices are high and going higher it is still practical to have a hybrid like a Toyota Prius with no plug in. All electric battery operated cars are not practical to me. Do not like Tesla type, will never buy one with current electric battery technology. Thank you.",Basic Info,1,1,0,0,1,1,1,0,0,0,0,5
69e9f6a993985bfec2114d70,prime_short,i dont really like electric vehicles and its something i see myself buying ever.,Basic Info,0,1,0,0,0,0,0,0,0,0,0,1
66d77183848780bed7462056,prime_short,"I've heard too many concerns about battery replacement costs, damaged or slow recharging stations, not enough recharging stations. The technology has not caught up in all areas for it to be a reliable long distance vehicle. There are too many unknown variables.",Basic Info,0,0,0,1,1,1,1,0,0,0,0,4
63af4399152d060c863a6484,prime_short,We do not have reliable access to any charging stations and worry about going long distances.,Basic Info,0,0,0,1,1,0,0,0,0,0,0,2
66de61ebd22e266a86232075,prime_short,There were too many miles on all of the cars and any that had lower miles did not seem to have a good price or good battery life expectancy in my opinion.,Basic Info,0,0,1,0,0,1,0,0,1,0,0,3
69cc740df30eeb7d258e0dc9,prime_long,i do not why but i still prefer gas,Extended Info,1,0,0,0,0,0,0,0,0,0,0,1
663f6c71063220be73b4ba2f,prime_short,Owning a fully electric car is not feasible for me right now because of my living situation. I would have no place to charge the vehicle.,Basic Info,0,0,0,0,1,0,0,0,0,0,0,1
6741437f3c0f685464c09139,prime_long,I am not open to an electric vehicle. Especially when many of the options had low mileage for a full charge. Gas can be obtained in 5 minutes. Charging the car every 50-150 miles? No thank you.,Extended Info,1,1,0,1,1,0,0,0,0,0,0,4
69cfd3a8dc59402e42230ced,prime_long,I am 19 without a job. I cannot afford anything more than $3k.,Extended Info,0,0,1,0,0,0,0,0,0,0,0,1
663a5c69296e5ab16fa30d00,prime_short,I would not get an electric vehicle with the risks that lithium batteries pose at this point in time.,Basic Info,0,0,0,0,0,1,1,0,0,0,0,2
69bf00b13882a8cf2f7400b3,prime_long,I am not interested in them at this time,Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
65e0d81acca2780f6d77bbe2,prime_short,"I'm not a fan of these vehicles. I already know from family experience the issues with the batteries, especially buying used. For the asking price of $15k plus it is just not worth it to me.",Basic Info,0,0,1,0,0,1,0,0,1,0,0,3
615e4e76151c3bb90b6bd868,prime_long,They are all above the budget that I would spend.  I would find a better deal.,Extended Info,0,0,1,0,0,0,0,0,0,0,0,1
6a029599262229428b4fb20a,prime_short,I am not interested in having an EV,Basic Info,0,1,0,0,0,0,0,0,0,0,0,1
6730112557e35267b2274947,prime_long,I just do not like EV's. The infastructures or charging stations are not always available.,Extended Info,0,1,0,0,1,0,0,0,0,0,0,2
69960866041cb0eb7a4f6487,prime_short,"cold weather is not good on batteries, plus, I don't have time to sit and wait for it to charge on a trip.",Basic Info,0,0,0,1,1,1,0,0,0,0,0,3
67abac2e77976bbccd35798b,prime_long,I would never buy an electric vehicle. It's not practical for the amount of driving I do on a regular basis.,Extended Info,0,1,0,1,0,0,0,0,0,0,0,2
64820b6c2c4ffe2a7f30b1dc,prime_short,"
I would not feel safe.  It is too much work.  I am afraid I will run out of battery.",Basic Info,0,0,0,1,0,0,0,1,0,0,0,2
69adc9fb8215015327c2b342,prime_long,I don't think they are reliable. When going on a family vacation how am I supposed to recharge and when I do it takes hours out of our travel when I can stop at a gas station for 5-10 minutes fill up and get back on the road not to the mention the maintenance it takes on electrical vehicles.,Extended Info,0,0,0,1,1,0,1,0,0,0,0,3
69aa6fa9ac8d4eca02d5dd7b,prime_short,"I tried to fit it realistically into my life. I work from home but my office is a state over, with most of the electric vehicles I would have to stop twice to charge just to make it on an in-office work day; versus no stops with my current gas vehicle.",Basic Info,0,0,0,1,1,0,0,0,0,0,0,2
5c337cb05b8ed100018a9b2e,prime_long,I previously expressed that I do not trust battery-powered vehicles. There are too many factors that could potentially negatively impact the vehicle.,Extended Info,0,0,0,0,0,1,0,1,0,0,0,2
69964193eb8ec313b470ec6c,prime_short,I am not interested in choosing electric. I am gas only until I am forced to buy electric.,Basic Info,1,1,0,0,0,0,0,0,0,0,0,2
695bdc063eacb21445424075,prime_short,"I don't have access to charging at home or work, so I am not willing to purchase an EV. If I had charging at home, I would be open to it.",Basic Info,0,0,0,0,1,0,0,0,0,0,0,1
69da46223396714fc0d4427d,prime_short,Owning a BEV feels too risky and inconvinient right now,Basic Info,0,0,0,0,0,0,1,0,0,0,0,1
698f869ca948853644583ee2,prime_short,"They are too expensive, and I have nowhere to charge an electric vehicle.",Basic Info,0,0,1,0,1,0,0,0,0,0,0,2
6104c9954ebe1d41cf1c3d9f,prime_short,The battery mileage was really low after 5 years and it wasn't what I would want if I were buying a car. My current vehicle gets over 400 miles before I need to get gas and I want to replace it with something that has similar gas mileage.,Basic Info,1,0,0,1,0,1,0,0,0,0,0,3
69d480a9374b64399b0b276c,prime_long,"Still worried about my safety. If i was in the middle of now where with no way to charge my car, i would be stranded and unsafe. I don't want to experience that.",Extended Info,0,0,0,1,1,0,0,0,0,0,0,2
69a719ff0a09773981d56612,prime_short,I would not like to purchase an electric vehicle. It it not practical for my lifestyle.,Basic Info,0,1,0,0,0,0,0,0,0,0,0,1
69992d4bd471ae1ac8d5d13b,prime_long,"I do not want a refurbished battery at all. I see how much the mileage is, which is not that great. The cost just does not add up well to me.",Extended Info,0,0,1,1,0,1,0,0,1,0,0,4
69f51166a4b79fa522b9bc9a,prime_long,I prefer driving conventional manual transmission vehicles,Extended Info,1,0,0,0,0,0,0,0,0,0,0,1
695fe183c240e1fd35d3f1ef,prime_short,"the batteries were too far degraded, and the 5 year estimate showed they were all severely degraded.  i dont want to put a new battery in it in ~5 years time.",Basic Info,0,0,0,0,0,1,0,0,1,0,0,2
6a0910707b57c547ae145a77,prime_short,"I do not want an electric vehicle. I drive too much for that to be practical. I do not want to waste additional time waiting for a car to charge. Additionally, I have concerns regarding crashes and fires with lithium-ion batteries.",Basic Info,0,1,0,1,1,1,0,0,0,0,0,4
699c91e6dc40ecf071af9d13,prime_short,I want to purchase a conventional 4 door sedan. I have always had driven conventional vehicles throughout my life and I do not want to purchase a battery electric vehicle.,Basic Info,1,1,0,0,0,0,0,0,0,0,0,2
698dfc12afe15931772f452e,prime_long,I don't have an interest in getting an electric vehicle until the infrastructure supports it more. They charge too slowly and there's not enough places for me to charge them.,Extended Info,0,0,0,0,1,0,1,0,0,0,0,2
6742afafe7ffabc756109eec,prime_short,I'm not experienced with electric vehicles. I'd need to research more.,Basic Info,0,0,0,0,0,0,1,0,0,0,1,2
69a9efa0aa4d2f1a98435f39,prime_long,I can not justify the high cost of purchasing a vehicle of this nature  plus electric automobiles that  are electric powdered batteries are extremely expensive .,Extended Info,0,0,1,0,0,0,0,0,0,0,0,1
6714457399a98b94cabd3bec,prime_long,"I would not ever buy an all electric vehicle. They are inconvenient, I don't want to worry about the battery freezing during the winter like the teslas, I don't want to have to find a charger, and the batteries are not good for the environment.  I prefer a gas vehicle.",Extended Info,1,0,0,0,1,1,0,0,0,1,0,4
5fac561bfa81812030b9fee0,prime_short,They are a bad fit for my lifestyle,Basic Info,0,1,0,0,0,0,0,0,0,0,0,1
6a04b2b78043f4510945c845,prime_short,"I'm not interested in an electric vehicle. Especially a used one, due to battery degradation.",Basic Info,0,1,0,0,0,1,0,0,1,0,0,3
69d6f79ee03a2de194479371,prime_long,i would never buy an electric vehicle.,Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
69fcc490e45bb5726737eb6e,prime_short,I can't imagine spending that much on something with so little range. I use my car for long distance travel.,Basic Info,0,0,1,1,0,0,0,0,0,0,0,2
69be18a7edf32a3fca008f2c,prime_long,"As I stated before, I want a real vehicle, not a toy. I will never own an electric vehicle. Nobody in my entire family, including extended family, will ever own an electric vehicle.",Extended Info,0,1,0,0,0,0,0,1,0,0,0,2
67c95fc1fefb0741ac3832b4,prime_long,It is just my personal preference.,Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
66311eece7cd682caa24b768,prime_long,I'm not comfortable with an electric car that doesn't have a good range since I don't have a charger at home or work.,Extended Info,0,0,0,1,1,0,0,0,0,0,0,2
69ab75e828da1fa3fd63d816,prime_long,Because I would forget to charge it and be stranded.,Extended Info,0,0,0,1,1,0,0,0,0,0,0,2
69b1e73b9dbf1dec3b4174de,prime_short,"I don't feel safe in an electic vehicle, its terrible for your health",Basic Info,0,0,0,0,0,1,0,1,0,0,0,2
66f247b22b5fe367ca421d35,prime_long,i have nowhere that i could charge one.,Extended Info,0,0,0,0,1,0,0,0,0,0,0,1
66432cfe824559e786003361,prime_short,I have heard that they are not any more great for the environment then regular battery cars and they have issues that can go wrong more then conventional cars and the batteries stay in a landfill forever.,Basic Info,0,0,0,0,0,1,1,0,0,1,0,3
